family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,earliest_available_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_energy_rate_cagr_10yr,blended_energy_rate_cagr_10yr_needs_review,years_of_available_history,status,reason
539f6d6eec4f024411ecb613,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option CPP-Lite (at 220kV)",Southern California Edison Co,56be1bca5457a3af1e8b4569,"Time-Of-Use Agricultural and Pumping-Small to Medium: TOU-PA-2, Option CPP-Lite (at 220kV)",2016-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.995893223819302,excluded,only 2.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6d8bec4f024411ecb72b,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (50kV - 220kV)",Southern California Edison Co,675321267850a3ccad055aae,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (50kV - 220kV)",2024-10-01 06:00:00+00:00,2014-01-29 08:00:00+00:00,539f6d8bec4f024411ecb72b,"Time of Use, General Service, Demand Metered, Option B: GS-2 TOU B, Single Phase (50kv - 220kV)",2014-01-29 08:00:00+00:00,True,10.669404517453799,0.04507486042612263,False,10.669404517453799,included,ok
539f6d9eec4f024411ecb865,Schedule P-4 Interruptible Water Pumping Power Service,Modesto Irrigation District,539f6d9eec4f024411ecb865,Schedule P-4 Interruptible Water Pumping Power Service,2013-04-01 13:00:00+00:00,2013-04-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6ddcec4f024411ecbaeb,Time-Of-Use - General Service - Demand Metered: TOU-GS-3 Option CPP (50kV - 220kV),Southern California Edison Co,539f6ddcec4f024411ecbaeb,Time-Of-Use - General Service - Demand Metered: TOU-GS-3 Option CPP (50kV - 220kV),2014-01-01 13:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6dddec4f024411ecbb63,"Time-Of-Use Agricultural and Pumping - Small to Medium: TOU-PA-2, Option E (at 220kV)",Southern California Edison Co,6757355dbe684656110eb22b,"Time-Of-Use Agricultural and Pumping - Small to Medium: TOU-PA-2, Option E (at 220kV)",2024-10-01 06:00:00+00:00,2014-01-01 13:00:00+00:00,539f6dddec4f024411ecbb63,"Time-Of-Use Agricutural and Pumping - Small to Medium: TOU-PA-2, Option A (at 220kV)",2014-01-01 13:00:00+00:00,True,10.746064339493497,0.05943279454200945,False,10.746064339493497,included,ok
539f6deeec4f024411ecbc53,A-10 Medium General Demand Service TOU (Secondary Voltage),Pacific Gas & Electric Co,69de8a2702f684104e01267c,A-10 Medium General Demand Service TOU (Secondary Voltage),2026-03-27 07:00:00+00:00,2014-01-01 08:00:00+00:00,574cc6115457a34a4b5e629f,A-10 Medium General Demand Service TOU (Secondary Voltage),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.05631562977916671,False,12.229979466119097,included,ok
539f6dfbec4f024411ecbc67,General Service - Demand: GS-2 - Three Phase (Under 2kV),Southern California Edison Co,539f6dfbec4f024411ecbc67,General Service - Demand: GS-2 - Three Phase (Under 2kV),2014-01-29 13:00:00+00:00,2014-01-29 13:00:00+00:00,,,,,,,False,0.0,excluded,only 0.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6dfcec4f024411ecbc9f,Schedule NM Flat Rate Service-301 - 500 watts(Winter),Turlock Irrigation District,5b4e72165457a31578c6d678,Schedule NM Flat Rate Service-301 - 500 watts(Winter),2015-01-01 08:00:00+00:00,2009-02-01 13:00:00+00:00,,,,,,,False,5.9110198494182065,excluded,only 5.9 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6e0bec4f024411ecbd7b,"Time of Use, General Service, Demand Metered, Option A: GS-2 TOU A, Three Phase (2kV - 50kV)",Southern California Edison Co,5c8180957bece2299eceb3d8,"Time of Use, General Service, Demand Metered, Option A: GS-2 TOU A, Three Phase (2kV - 50kV)",2018-10-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,4.744695414099931,excluded,only 4.7 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6e0bec4f024411ecbd9b,E-20 Maximum demand of (1000 KW or more) (Transmission),Pacific Gas & Electric Co,69de818ba6e15ebd62035b3b,E-20 Maximum demand of (1000 KW or more) (Transmission),2026-03-27 07:00:00+00:00,2014-01-01 08:00:00+00:00,574dbe465457a3de795e629f,E-20 Maximum demand of (1000 KW or more) (Transmission),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.028529375076990604,False,12.229979466119097,included,ok
539f6e3bec4f024411ecbf8b,CI-TOD1: Commercial and Industrial TOD Secondary (0-20 kW),Sacramento Municipal Utility District,68c08c600a522a6ed20fe04d,CI-TOD1: Commercial and Industrial TOD Secondary (0-20 kW),2025-05-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,5579fc865457a3c8658ba376,Small Nondemand Service GSN-T,2015-04-10 07:00:00+00:00,True,10.05886379192334,0.013782025182399238,False,11.326488706365502,included,ok
539f6e4cec4f024411ecc0ab,"Time-Of-Use Agricultural and Pumping: TOU-PA, Option B (Under 2kV); REPEAT Rate",Southern California Edison Co,56be1f635457a369548b456b,"Time-Of-Use Agricultural and Pumping: TOU-PA, Option B (Under 2kV); REPEAT Rate",2016-01-01 07:00:00+00:00,2014-01-01 13:00:00+00:00,,,,,,,False,1.995893223819302,excluded,only 2.0 years of history in the source data (need 10) — the earlier version this would compare against either doesn't exist yet or its supersedes chain doesn't reach back that far in this dataset
539f6e5bec4f024411ecc12b,Agriculture Power TOU Rate (AG-4C),Pacific Gas & Electric Co,69dea8633b7f6b42a805fd9f,Agriculture Power TOU Rate (AG-4C),2026-03-27 07:00:00+00:00,2014-01-01 08:00:00+00:00,574dadea5457a34d795e629e,Agriculture Power TOU Rate (AG-4C),2016-03-24 07:00:00+00:00,False,10.00684462696783,0.053059045167450636,False,12.229979466119097,included,ok
