family_id,family_display_name,family_utility_name,current_label,current_name,current_startdate,baseline_label,baseline_name,baseline_startdate,name_changed_over_window,actual_years_spanned,blended_demand_rate_cagr_10yr,blended_demand_rate_cagr_10yr_needs_review
539fb400ec4f024bc1dbe465,"E-19 Medium General Demand TOU (Transmission, Voluntary)",Pacific Gas & Electric Co,69de8052fcf14d499f019a5d,"E-19 Medium General Demand TOU (Transmission, Voluntary)",2026-03-27 07:00:00+00:00,574dbb495457a34d795e629f,"E-19 Medium General Demand TOU (Transmission, Voluntary)",2016-03-24 07:00:00+00:00,False,10.00684462696783,0.05507725524408791,False
539fb411ec4f024bc1dbe509,Primary Service Time-Of-Use A-2 (B),Los Angeles Department of Water & Power,69eb9e43387d9dc4ee0a5f4f,Primary Service Time-Of-Use A-2 (B),2026-04-01 07:00:00+00:00,57213c0f5457a34933b3387c,Primary Service A-2 Rate Time-Of-Use (TOU),2016-04-01 07:00:00+00:00,True,9.998631074606434,-0.01152727349574767,False
539fb469ec4f024bc1dbe95b,Power - Agricultural and Pumping Connected Load Basis: PA-1 (2kV-50kV),Southern California Edison Co,675729df736d71dbcf099eee,Power - Agricultural and Pumping Connected Load Basis: PA-1 (2kV-50kV),2024-10-01 06:00:00+00:00,539fb469ec4f024bc1dbe95b,Power - Agricultural and Pumping Connected Load Basis: PA-1 (2kV-50kV),2014-01-01 13:00:00+00:00,False,10.746064339493497,,False
539fb47bec4f024bc1dbea3b,CI-TOD2: Commercial and Industrial TOD Primary (300-499 kW),Sacramento Municipal Utility District,68c0c9bc1f5bad3051057c3c,CI-TOD2: Commercial and Industrial TOD Primary (300-499 kW),2025-05-01 07:00:00+00:00,557b06435457a33a048ba376,Small General Service Time of Use GS-TOU3 (GUP_S),2015-04-10 07:00:00+00:00,True,10.05886379192334,0.037242777783693226,False
539fb505ec4f024bc1dbf067,Large Agriculture Optional Time of Day AG (AOD),Sacramento Municipal Utility District,68c0878f90fd5c0e640f716a,Large Agriculture Optional Time of Day AG (AOD),2025-05-01 07:00:00+00:00,557af7635457a3be2b8ba37d,Large Agriculture Optional Time of Use (AG AOD),2015-04-10 07:00:00+00:00,True,10.05886379192334,,False
539fb528ec4f024bc1dbf205,Small Agricultural Optional Time of Day AG (AON),Sacramento Municipal Utility District,68c085a890fd5c0e640f7169,Small Agricultural Optional Time of Day AG (AON),2025-05-01 07:00:00+00:00,557aeba65457a33a048ba375,Small Agricultural Optional Time of Use AG (AON),2015-04-10 07:00:00+00:00,True,10.05886379192334,,False
539fb57eec4f024bc1dbf5a3,Agriculture Power TOU Rate (AG-4E),Pacific Gas & Electric Co,69dea85d5522f8f29a014b5e,Agriculture Power TOU Rate (AG-4E),2026-03-27 07:00:00+00:00,574dafe75457a30e7e5e629e,Agriculture Power TOU Rate (AG-4E),2016-03-24 07:00:00+00:00,False,10.00684462696783,-0.017098761608909774,False
539fb61bec4f024bc1dbfcab,SCHEDULE PM MUNICIPAL SERVICE,Imperial Irrigation District,5b0f25165457a3fa42733306,SCHEDULE PM MUNICIPAL SERVICE,2015-01-01 08:00:00+00:00,539fb61bec4f024bc1dbfcab,SCHEDULE PM MUNICIPAL SERVICE,1998-01-01 13:00:00+00:00,False,16.996577686516083,,False
539fb61bec4f024bc1dbfcb1,"Time-Of-Use - General Service - Large: TOU-8, Option R (2kV - 50kV)",Southern California Edison Co,674f6d2452205216e80c25e9,"Time-Of-Use - General Service - Large: TOU-8, Option R (2kV - 50kV)",2024-10-01 06:00:00+00:00,539fb61bec4f024bc1dbfcb1,"Time-Of-Use - General Service - Large: TOU-8, Option R (2kV - 50kV)",2014-01-01 13:00:00+00:00,False,10.746064339493497,,False
539fb64fec4f024bc1dbff09,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option D (Under 2kV)",Southern California Edison Co,675739a8be684656110eb22c,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option D (Under 2kV)",2024-10-01 06:00:00+00:00,539fb64fec4f024bc1dbff09,"Time-Of-Use Agricultural and Pumping - Large: TOU-PA-3, Option B (Under 2kV)",2014-01-01 08:00:00+00:00,True,10.746064339493497,0.013531261999411237,False
